,Analytics Desc,English,Hiragana,Kanji,Vocab Set,Example
8614,Total,Coward,いくじなし,意気地なし,TerraceHouse,
,,Oblivious,どんかん,どんかん,TerraceHouse,
,,Unnecessary,よけいな(こと),余計な(こと),TerraceHouse,
,,"Flashy, player",チャラい,チャラい,TerraceHouse,
,,Actor,はいゆう,俳優,TerraceHouse,
,,Forehead,おでこ,おでこ,TerraceHouse,
,,Freeway,こうそう,高速,TerraceHouse,
,,"Smirk, grin",ニヤニヤ(する),ニヤニヤ(する),TerraceHouse,
,,To accept,うけとる,受け取る,TerraceHouse,
,,Catfish,ナマズ,ナマズ,TerraceHouse,
,,Attracted to,きになってる,気になってる,TerraceHouse,
,,"Chance, excuse, impetus",きっかけ,切っ掛け,TerraceHouse,
,,Rest in peace ,じょうぶつ(する),成仏する,Anohana,
,,Jealousy,しっと,嫉妬,TerraceHouse,
,,(Be) independent ,じりつ(する),自立(する),TerraceHouse,
,,"Win, victory",ゆうしょう,優勝,TerraceHouse,
,,Love at first sight ,ひとめぼれ,一目惚れ,TerraceHouse,
,,Excuse,いいわけ,言い訳,TerraceHouse,
,,"Pathetic, pitiable",なさけない,情けない,TerraceHouse,
,,Ambition,やしん,野心,Naruto,
,,Ambition,やぼう,野望,Naruto,
,,(To) hesitate,ちゅうちょ(する),躊躇(する),Naruto,
,,"Regret, lingering attachment ",みれん,未練,Naruto,
,,"To numb, Gives me the chills",しびれる,痺れる,TerraceHouse,
,,"To show, to illuminate",しょうめい(する),証明(する),Naruto,
,,Dryness,かんそう,乾燥,TerraceHouse,
,,Impression,かんそう,感想,TerraceHouse,
,,Sore,きんにくつう,筋肉痛,Sho,
,,Not a good match,つりあわくない,釣りあわくない,Horimiya,
,,"Unreasonable, unfair",りふじん,理不尽,Horimiya,
,,You have a pretty face ,きれいなかおしてるね,きれいな顔してるね,TerraceHouse,
,,"Exploring, searching for an answer",もさく,模索,TerraceHouse,
,,Friendly,きさく,気さく,TerraceHouse,
,,To shine,かがやく,輝く,Boku no hero,
,,"Crude, indecent",げひん,下品,TerraceHouse,
,,"Grown, expanded ability ",のびた,伸びた,,
,,"Good natured, generous",きがいい,気がいい,,
,,"Maybe, perhaps, possibly",あるいは,或いは,,
,,"Wish for, request",もとめる,求める,,
,,"Daily food, regular diet",じょうしょく,常食,,
,,sympathy,どうじょう,同情,,
,,"important, momentus",じゅうよう,重要,,
,,"before, ago, previous",いぜん,以前,,
,,exclusive use,せんよう,専用,,
,,intention,いと,意図,,
,,"Contradictory, inconsistent ",むじゅん,矛盾,,
,,Attitude to life,いきざま,生き様,,
,,Consistency,いっかんせお,一貫性,,
,,Ambiguous ,あいまい,曖昧,,
,,Secret Base,きち,秘密基地,,
,,Garlic chives,にら,韮,,
,,Candle,ろうそく,蝋燭,,
,,Defending to the last,ししゅ(する),死守(する),,
,,"Idea, way of thinking ",はっそう,発想,,
,,"Better, less worse",まし(な),増し(な),,
,,Friendship,ゆうじょう,友情,,
,,Kettle,やかん,薬缶,,
,,Optimistic,らっかんてき,楽観的,,
,,Impression,いんしょう,印象,,
,,Nominate,しめい(する),指名する,,
,,"Drawn lot, lottery",くじびき,くじ引き,,
,,Strong willed,きがつよい,気が強い,,
,,"Puzzling, comlicated",ややこしい,ややこしい,,
,,Actual feeling （is this real?),じっかん,実感,,
,,Apology,おわび,お詫び,,
,,Argue for arguement sake,こねる,捏ねる,,
,,Don't want to be involved in,かかわりたくない,関わりたくない,,
,,Same feeling/sentiment,どうかん,同感,,
,,Men and women,だんじょ,男女,,
,,Criticism ,ひひょう,批評,,
,,Joke,うけ,うけ,,
,,"Exert oneself, go all out",きばる,気張る,,
,,"Change, substitute",~かえ,~替え,,クラス替えはない
,,This school,ほんこう,本校,,
,,"Materials, documents",しりょう,資料,,
,,"Unique, original ",どくじ,独自,,
,,Already,すでに,既に,,
,,Facilities,しせつ,施設,,
,,"All, every kind of",あらゆる,あらゆる,,
,,"To all be present, to be satisfied (conditions)",そろう,揃う,,
,,"Amusement, entertainment ",ごらく,娯楽,,
,,Including ~,~ふくめて,含めて,,
,,"To lay the groundwork, set up behind the scenes",ねまわし(する),根回し(する),,
,,After school,ほうかご,放課後,,
,,"At most, at best",せいぜい,せいぜい,,
,,A few minutes ,すうふん,数分,,
,,Unpleasant ,ふゆかい,不愉快,,
,,"Statement, remark",はつげん,発言,,
,,Sense of money (how to spend money),きんせんかんかく,金銭感覚,,
,,To fully enjoy oneself ,まんきつ(する),満喫(する),,
,,Limitation,せいやく,制約,,
,,To be cautious ,けいかい(する),警戒(する),,
,,"Admiration, to be impressed",かんしん(する),感心(する),,
,,"Solitary, loneliness ",こどく,孤独,,
,,"Infinity, infinite",むげん,無限,,
,,to contradict,むじゅんしている,矛盾している,JS 11,
,,paragraph,だんらく,段落,JS 11,
,,negative,ひていてきな,否定的な,JS 11,
,,What one says and what one does don't match (contradict).,いってることと、やってることが、いっちしない,言ってることとやってることが一致しない,JS 11,
,,Action ,こうどう,行動,JS 11,
,,Apologize,しゃざい,謝罪,JS 11,
,,to doubt; to distrust; to be suspicious of,うたがう,疑う,JS 11,
,,to cut; to halve; to separate,わる,割る,JS 11,
,,force; vigor,いきおい,勢い,JS 11,
,,punctuation mark,くとうてん,句読点,JS 11,
,,opinion; point of view,してん,支店,JS 11,
,,less than,みまん,未満,JS 11,
